WILAYAH;KECAMATAN;KELURAHAN;NO_RT;NO_RW;LUAS_AREA;GENANGAN;TINGGI;FLOOD;KETERANGAN;WAKTU;WAKTU_TEXT;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;004;007;0,00167955;120 cm;3;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;001;007;0,00180337;120 cm;3;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;007;007;0,00163537;40 cm;2;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;017;007;0,00079474;80 cm;3;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;015;008;0,00346073;50 cm;2;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;013;008;0,0026317;50 cm;2;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;009;008;0,0013704;70 cm;2;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;010;008;0,0017775;100 cm;3;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;005;008;0,00100495;50 cm;2;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;006;008;0,00355319;150 cm;3;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;008;008;0,00408265;40 cm;2;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
